Rank,Track_id,Streams,Track Name,Artist,URL,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,duration_ms,key,mode,Artist_id,Artist_popularity
131.0,2fuCquhmrzHpu5xcA1ci9x,193127265,Under Pressure - Remastered,Queen,https://open.spotify.com/track/2fuCquhmrzHpu5xcA1ci9x,0.429,0.671,0.712,0.0,0.103,"-7,815",0.0476,0.462,"113,805",4,248440,2,1,1dfeR4HaWDbWqFHLkxsg1d,93
132.0,63cd4JkwGgYJrbOizbfmsp,193090742,Pure Water (with Migos),Mustard,https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp,0.172,0.68,0.559,0.0,0.318,"-5,545",0.129,0.137,"202,006",4,194520,0,1,0YinUQ50QDB7ZxSCLyQ40k,86
133.0,1NJcg626wLln4pGHpiV7mf,190034741,lovely,Billie Eilish,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf,0.934,0.351,0.296,0.0,0.095,"-10,109",0.0333,0.12,"115,284",4,200186,4,0,6qqNVTkY8uBg9cP3Jd7DAH,98
134.0,40T5GIqQ1CegGm2PTEl8Bu,185239405,idontwannabeyouanymore,Billie Eilish,https://open.spotify.com/track/40T5GIqQ1CegGm2PTEl8Bu,0.737,0.483,0.412,0.0,0.116,"-8,461",0.0402,0.247,"170,163",3,203569,7,1,6qqNVTkY8uBg9cP3Jd7DAH,98
135.0,5qrSlOut2rNAWv3ubArkNy,185142138,Be Alright,Dean Lewis,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy,0.705,0.551,0.537,0.0,0.0802,"-7,595",0.034,0.493,"126,421",4,196493,11,1,3QSQFmccmX81fWCUSPTS7y,83
136.0,6fTt0CH2t0mdeB2N9XFG5r,184771732,Panini,Lil Nas X,https://open.spotify.com/track/6fTt0CH2t0mdeB2N9XFG5r,0.342,0.703,0.594,0.0,0.123,"-6,146",0.0752,0.475,"153,848",4,114893,5,0,7jVv8c5Fj3E9VhNjxT4snq,87
137.0,1xzBco0xcoJEDXktl7Jxrr,183562149,Mo Bamba,Sheck Wes,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,0.194,0.729,0.625,0.00986,0.248,"-5,266",0.0315,0.261,"146,034",4,183907,4,1,2RDOrhPqAM4jzTRCEb19qX,78
138.0,0DiDStADDVh3SvAsoJAFMk,182748769,Only Human,Jonas Brothers,https://open.spotify.com/track/0DiDStADDVh3SvAsoJAFMk,0.108,0.795,0.496,0.0,0.0645,"-5,883",0.0722,0.874,94.01,4,183000,0,1,7gOdHgIoIKoe4i9Tta6qdD,87
139.0,4hPpVbbakQNv8YTHYaOJP4,181600204,One Thing Right,Marshmello,https://open.spotify.com/track/4hPpVbbakQNv8YTHYaOJP4,0.0667,0.659,0.623,0.0,0.582,"-2,253",0.0451,0.439,"88,042",4,181824,4,1,64KEffDW9EtZ1y2vBYgq8T,90
140.0,7ef4DlsgrMEH11cDZd32M6,179844243,One Kiss (with Dua Lipa),Calvin Harris,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6,0.037,0.791,0.862,2.19e-05,0.0814,-3.24,0.11,0.592,"123,994",4,214847,9,0,7CajNmpbOovFoOoasH2HaY,90
142.0,1kBbgxAUc4HQv7cgIayIDH,178836034,Ransom,Lil Tecca,https://open.spotify.com/track/1kBbgxAUc4HQv7cgIayIDH,0.0204,0.745,0.642,0.0,0.0658,"-6,257",0.287,0.226,"179,974",4,131280,7,0,4Ga1P7PMIsmqEZqhYZQgDo,88
143.0,3ZCTVFBt2Brf31RLEnCkWJ,177946722,everything i wanted,Billie Eilish,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,0.902,0.704,0.225,0.657,0.106,"-14,454",0.0994,0.243,"120,006",4,245426,6,0,6qqNVTkY8uBg9cP3Jd7DAH,98
144.0,0s5DNDV6LAKn2u2Ufa3VjQ,177745215,Desconocidos,Mau y Ricky,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,0.146,0.709,0.771,3.29e-06,0.249,"-4,598",0.166,0.709,"174,006",4,204453,7,1,2wkoKEfS6dXwThbyTnZWFU,83
145.0,5hVghJ4KaYES3BFUATCYn0,177312035,EARFQUAKE,"Tyler, The Creator",https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0,0.23,0.554,0.498,5.98e-06,0.795,"-8,866",0.0685,0.413,"79,635",4,190067,9,1,4V8LLVI7PbaPR0K2TGSxFF,87
146.0,6Gg1gjgKi2AK4e0qzsR7sd,177166322,Bandit (with YoungBoy Never Broke Again),Juice WRLD,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd,0.0687,0.474,0.631,0.0,0.132,"-5,884",0.343,0.425,"180,051",4,189323,5,0,4MCBfE4596Uoi2O4DtmEMz,98
147.0,09IStsImFySgyp0pIQdqAc,175754033,The Middle,Zedd,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc,0.171,0.753,0.657,0.0,0.112,"-3,061",0.0449,0.437,107.01,4,184732,7,1,2qxJFvFYMEDqd7ui6kSAcq,86
148.0,2x0RZdkZcD8QRI53XT4GI5,175735987,SOS (feat. Aloe Blacc),Avicii,https://open.spotify.com/track/2x0RZdkZcD8QRI53XT4GI5,0.272,0.802,0.645,0.0,0.119,"-6,181",0.0715,0.376,"100,001",4,157202,5,0,1vCWHaC5f2uS3yhpwWbIA6,89
149.0,2uIX8YMNjGMD7441kqyyNU,174000961,ocean eyes,Billie Eilish,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU,0.819,0.475,0.37,0.0577,0.0841,"-7,725",0.0361,0.157,"144,828",4,200560,4,0,6qqNVTkY8uBg9cP3Jd7DAH,98
151.0,5jW3rF4URMdK7tO2xjS5EI,172766601,Tal Vez,Paulo Londra,https://open.spotify.com/track/5jW3rF4URMdK7tO2xjS5EI,0.25,0.855,0.649,0.0,0.0801,"-2,443",0.151,0.741,"161,986",4,263899,8,1,3vQ0GE3mI0dAaxIMYe5g7z,86
153.0,2rbDhOo9Fh61Bbu23T2qCk,172146721,Always Remember Us This Way,Lady Gaga,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk,0.299,0.553,0.502,0.0,0.764,"-5,972",0.0409,0.296,"129,976",4,210200,0,1,1HY2Jd0NmPuamShAr6KMms,89
154.0,4pUCKHjJ4Ijewc37rRrvHn,170650554,Kill This Love,BLACKPINK,https://open.spotify.com/track/4pUCKHjJ4Ijewc37rRrvHn,0.32,0.738,0.861,0.00175,0.325,"-4,141",0.237,0.58,"131,974",4,189052,2,1,41MozSoPIsD1dJM0CLPjZF,83
155.0,6Hj9jySrnFppAI0sEMCZpJ,168363558,Robbery,Juice WRLD,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ,0.328,0.685,0.692,0.0,0.153,"-5,122",0.0457,0.578,"159,966",5,240051,2,1,4MCBfE4596Uoi2O4DtmEMz,98
156.0,27rdGxbavYJeBphck5MZAF,167869894,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF,0.00987,0.601,0.794,1.36e-06,0.388,"-5,844",0.0671,0.244,"114,066",4,217467,7,0,3hv9jJF3adDNsBSIQDqcjp,83
157.0,7LzouaWGFCy4tkXDOOnEyM,166831567,Liar,Camila Cabello,https://open.spotify.com/track/7LzouaWGFCy4tkXDOOnEyM,0.0169,0.74,0.498,0.00282,0.319,"-6,684",0.0456,0.652,"98,016",4,207039,11,0,4nDoRrQiYLoBzwC5BhVJzF,96
158.0,5qqabIl2vWzo9ApSC317sa,165134319,Wonderwall - Remastered,Oasis,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa,0.000452,0.378,0.896,0.0,0.194,"-4,066",0.0407,0.469,"174,302",4,258773,2,1,2DaxqgrOhkeH0fpeiQq2f4,82
159.0,7DcvwMAiqKJQD1rrdfxSDx,164727863,The London (feat. J. Cole & Travis Scott),Young Thug,https://open.spotify.com/track/7DcvwMAiqKJQD1rrdfxSDx,0.0247,0.796,0.586,0.0,0.132,"-6,946",0.147,0.179,"97,981",4,200107,4,0,50co4Is1HCEo8bhOyUWKpn,94
160.0,6wo37KVqFJhtuxPTpLCcfe,164486107,Takeaway (feat. Lennon Stella),The Chainsmokers,https://open.spotify.com/track/6wo37KVqFJhtuxPTpLCcfe,0.12,0.294,0.505,0.0,0.0977,"-8,106",0.042,0.357,"85,332",1,209893,3,1,69GGBxA162lTqCwzJG5jLp,91
162.0,6nDKrPlXdpomGBgAlO7UdP,160799615,SOS,Avicii,https://open.spotify.com/track/6nDKrPlXdpomGBgAlO7UdP,0.272,0.802,0.645,0.0,0.119,"-6,181",0.0715,0.376,"100,001",4,157202,5,0,1vCWHaC5f2uS3yhpwWbIA6,89
