pos,year,track_ID,artist_names,track_name,genres,danceability,energy,speechiness,acousticness,liveness,valence,tempo,duration_sec
252,2021,37BZB0z9T8Xu7U3e65qxFy,The Weeknd  Ariana Grande,Save Your Tears (with Ariana Grande) (Remix),[R&B],0.65,0.83,0.03,0.02,0.09,0.59,118.09,191.013
253,2021,0lLdorYw7lVrJydTINhWdI,Michael Bublé,Its Beginning to Look a Lot like Christmas,[pop],0.34,0.21,0.04,0.91,0.34,0.36,94.78,206.639
254,2021,6jy9yJfgCsMHdu2Oz4BGKX,Drake,Papi’s Home,[hip hop],0.7,0.74,0.31,0.11,0.7,0.59,140.18,178.623
255,2021,0RbW8kWozrVSIGb4V13o0o,Kanye West,Hurricane,[hip hop],0.59,0.56,0.15,0.05,0.11,0.35,80.01,243.187
256,2021,2tGvwE8GcFKwNdAXMnlbfl,Olivia Rodrigo,happier,[pop],0.4,0.44,0.13,0.77,0.08,0.34,168.92,175.933
257,2021,2gpWyfu7eZ01zzncHpxOtA,Swedish House Mafia  The Weeknd,Moth To A Flame (with The Weeknd),[Dance/Electronic],0.54,0.66,0.04,0,0.11,0.11,120.12,234
258,2021,5Kskr9LcNYa0tpt5f0ZEJx,Lil Tjay  6LACK,Calling My Phone,[hip hop],0.91,0.39,0.05,0.45,0.14,0.2,104.95,205.458
259,2021,6OGogr19zPTM4BALXuMQpF,The Weeknd,Take My Breath - Single Version,[R&B],0.75,0.74,0.05,0.01,0.1,0.52,121,220.196
260,2021,6hf0RpxTbOprT5nnwzkk8e,J Balvin  Maria Becerra,Qué Más Pues?,[latin],0.89,0.82,0.11,0.03,0.17,0.77,101.97,217.773
261,2021,4s7QLoImIwmPi9L6dq1nVW,Drake,TSU,[hip hop],0.57,0.56,0.42,0.23,0.39,0.25,130.02,308.755
262,2021,61S79KIVA4I9FXbnsylEHT,Drake  Lil Durk  Giveon,In The Bible (with Lil Durk & Giveon),[hip hop],0.69,0.39,0.3,0.61,0.13,0.15,143.07,296.568
263,2021,7MAibcTli4IisCtbHKrGMh,Bruno Mars  Anderson .Paak  Silk Sonic,Leave The Door Open,[pop],0.59,0.62,0.03,0.18,0.09,0.72,148.09,242.096
264,2021,0lizgQ7Qw35od7CYaoMBZb,Ariana Grande,Santa Tell Me,[pop],0.53,0.62,0.12,0.05,0.29,0.59,191.9,204.093
265,2021,1r9xUipOqoNwggBpENDsvJ,Imagine Dragons  JID  Arcane  League of Legends,Enemy (with JID) - from the series Arcane League of Legends,[rock],0.73,0.78,0.27,0.24,0.43,0.56,77.01,173.381
266,2021,4VCbgIdr8ptegWeJpqLVHH,Drake  JAY-Z,Love All (with JAY-Z),[hip hop],0.73,0.58,0.29,0.35,0.15,0.16,92.13,228.461
267,2021,2vmfvSoZBFAt9hhRoEByLi,Aventura  Bad Bunny,Volví,[latin],0.73,0.86,0.18,0.42,0.07,0.79,175.9,230.125
268,2021,1D3z6HTiQsNmZxjl7F7eoG,J. Cole  21 Savage  Morray,m y . l i f e (with 21 Savage & Morray),[hip hop],0.6,0.59,0.14,0.06,0.21,0.08,140.02,218.801
269,2021,7sMBvZCSUl99bJLXZaLa0b,Bruno Mars  Anderson .Paak  Silk Sonic,Smokin Out The Window,[pop],0.63,0.62,0.04,0.06,0.35,0.85,82.03,197.442
270,2021,4wcBRRpIfesgcyUtis7PEg,Olivia Rodrigo,1 step forward  3 steps back,[pop],0.47,0.2,0.1,0.94,0.13,0.42,168.88,163.586
271,2021,2MnLkFqY9Rpg9s3Zv6ZJdK,Gera MX  Christian Nodal,Botella Tras Botella,[latin],0.73,0.55,0.04,0.66,0.12,0.69,106.89,197.333
272,2021,1IcR6RlgvDczfvoWJSSY2A,Andy Williams,Its the Most Wonderful Time of the Year,[pop],0.23,0.53,0.04,0.87,0.12,0.65,201.74,151
273,2021,5JCoSi02qi3jJeHdZXMmR8,Olivia Rodrigo,favorite crime,[pop],0.37,0.27,0.04,0.87,0.15,0.22,172.93,152.666
274,2021,2tUL6dZf1mywCj5WvCPZw6,Drake,No Friends In The Industry,[hip hop],0.84,0.74,0.11,0.02,0.63,0.17,83.74,204.346
275,2021,7Bk0uXKk1uPT0XuQbpFzvs,Los Legendarios  Wisin  Jhayco,Fiel,[latin],0.85,0.7,0.06,0.41,0.11,0.51,98.01,261.665
276,2021,3tjFYV6RSFtuktYl3ZtYcq,24kGoldn  iann dior,Mood (feat. iann dior),[hip hop],0.7,0.72,0.04,0.22,0.27,0.76,90.99,140.525
277,2021,2cnKST6T9qUo2i907lm8zX,J. Cole,a m a r i,[hip hop],0.73,0.71,0.19,0.13,0.62,0.21,65.99,148.421
278,2021,05bfbizlM5AX6Mf1RRyMho,Nio Garcia  J Balvin  Bad Bunny,AM Remix,[latin],0.74,0.66,0.16,0.11,0.08,0.79,172.03,261.334
279,2021,65OVbaJR5O1RmwOQx0875b,Drake  Lil Baby,Wants and Needs (feat. Lil Baby),[hip hop],0.58,0.45,0.29,0.06,0.12,0.1,136.01,192.956
280,2021,3FAJ6O0NOHQV8Mc5Ri6ENp,Giveon,Heartbreak Anniversary,[R&B],0.45,0.47,0.08,0.52,0.3,0.54,89.09,198.37
281,2021,776AftMmFFAWUIEAb3lHhw,Måneskin,ZITTI E BUONI,[rock],0.63,0.94,0.07,0,0.42,0.64,103,194.786
282,2021,00Blm7zeNqgYLPtW6zg8cj,Post Malone  The Weeknd,One Right Now (with The Weeknd),[hip hop],0.69,0.78,0.05,0.04,0.08,0.69,97.01,193.506
283,2021,0k4d5YPDr1r7FX77VdqWez,Doja Cat  The Weeknd,You Right,[pop],0.83,0.62,0.06,0.02,0.08,0.44,128.99,186.173
284,2021,5W8jRrZ6tWrTrqnKRtIQBf,J. Cole  Lil Baby,p r i d e . i s . t h e . d e v i l (with Lil Baby),[hip hop],0.86,0.66,0.43,0.1,0.1,0.33,88.97,218.21
285,2021,2Xr1dTzJee307rmrkt8c0g,CKay,love nwantiti (ah ah ah),[R&B],0.73,0.74,0.04,0.37,0.16,0.53,93.01,145.8
286,2021,6w8ZPYdnGajyfPddTWdthN,Adele,Can I Get It,[pop],0.7,0.68,0.04,0.02,0.18,0.54,97.99,210.384
287,2021,0MMyJUC3WNnFS1lit5pTjk,Olivia Rodrigo,jealousy  jealousy,[pop],0.7,0.58,0.12,0.2,0.06,0.7,163.93,173.16
288,2021,4gzsuuZypVbxs0Af1LSZyB,Tainy  Bad Bunny  Julieta Venegas,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),[latin],0.64,0.7,0.08,0.09,0.09,0.14,169.89,207.301
289,2021,34D6FJysnQioVingDKufuf,Drake  Future,N 2 Deep,[hip hop],0.51,0.43,0.33,0.05,0.11,0.07,91,273.577
290,2021,2rCbl9naJYhaxjLsfx88uM,Sebastian Yatra  Myke Towers,Pareja Del Año,[latin],0.72,0.62,0.05,0.16,0.09,0.81,80.02,195.053
291,2021,35mvY5S1H3J2QZyna3TFe0,Ariana Grande,positions,[pop],0.74,0.8,0.09,0.47,0.09,0.68,144.02,172.324
292,2021,7vrJn5hDSXRmdXoR30KgF1,KAROL G,BICHOTA,[latin],0.86,0.67,0.15,0.21,0.1,0.84,163.91,178.946
293,2021,7uoFMmxln0GPXQ0AcCBXRq,Sia,Snowman,[pop],0.72,0.51,0.03,0.48,0.09,0.33,104.96,165.9
294,2021,6F2r4HgpJnvKDmkN6JEN6J,Justin Bieber  Khalid,As I Am (feat. Khalid),[pop],0.6,0.54,0.04,0.13,0.1,0.11,99.93,174.406
295,2021,2DuPBbS5mIldXnh7Wum8Cy,Adele,My Little Love,[pop],0.34,0.49,0.06,0.83,0.15,0.1,151.87,389.107
296,2021,6v0UJD4a2FtleHeSYVX02A,Adele,I Drink Wine,[pop],0.44,0.57,0.05,0.7,0.12,0.31,115.39,376.169
297,2021,31qCy5ZaophVA81wtlwLc4,Justin Bieber,Anyone,[pop],0.69,0.54,0.03,0.18,0.11,0.58,115.88,190.779
298,2021,6Im9k8u9iIzKMrmV7BWtlF,Ariana Grande,34+35,[pop],0.83,0.59,0.09,0.24,0.25,0.49,109.98,173.71
299,2021,3qCeq0rWK67SoBDgFd2sId,José Feliciano,Feliz Navidad,[latin],0.51,0.82,0.05,0.41,0.3,0.97,148.73,182.306
300,2021,4gvrJnKCKIPiacNsWVQwEU,CKay  Dj Yo!  AXEL,love nwantiti (feat. Dj Yo! & AXEL) - Remix,[R&B],0.58,0.6,0.06,0.44,0.05,0.44,119.9,188.368
301,2021,3YJJjQPAbDT7mGpX3WtQ9A,SZA,Good Days,[R&B],0.44,0.66,0.06,0.5,0.69,0.41,121,279.204
302,2021,40uMIn2zJLAQhNXghRjBed,Post Malone,Motley Crew,[hip hop],0.8,0.63,0.08,0.09,0.1,0.29,129.92,184.213
303,2021,0eu4C55hL6x29mmeAjytzC,Oliver Tree,Life Goes On,[hip hop],0.7,0.49,0.08,0.19,0.12,0.57,79.98,161.803
304,2021,08LwMWf5Tcfsd752EPzFV0,J. Cole,i n t e r l u d e,[hip hop],0.77,0.57,0.11,0.06,0.1,0.1,98.96,133.021
305,2021,1xK1Gg9SxG8fy2Ya373oqb,Myke Towers  Juhn,Bandido,[latin],0.71,0.62,0.09,0.12,0.1,0.68,16.8,232.853
306,2021,4R67rQNSbbsR4TdUVOIdez,Travis Scott,ESCAPE PLAN,[hip hop],0.84,0.51,0.13,0,0.13,0.44,154.12,149.61
307,2021,4OAuvHryIVv4kMDNSLuPt6,Taylor Swift,Red (Taylors Version),[pop],0.52,0.78,0.04,0,0.08,0.41,125.05,223.093
308,2021,6uqyE384HDSsuwpoF4mjrL,Billie Eilish,NDA,[pop],0.77,0.37,0.07,0.33,0.11,0.59,85.02,195.776
309,2021,5R691ipUYRDYW6ehapjoj6,J. Cole,9 5 . s o u t h,[hip hop],0.71,0.79,0.4,0.27,0.73,0.2,71.72,196.946
310,2021,4btFHqumCO31GksfuBLLv3,Ed Sheeran,Overpass Graffiti,[pop],0.52,0.85,0.19,0,0.12,0.77,175.91,236.906
311,2021,1zejeOnykpCoyVSit6Bwp3,Olivia Rodrigo,hope ur ok,[pop],0.44,0.3,0.06,0.39,0.1,0.17,77.25,209.56
312,2021,13CVSGLSFl4UxpDVR6u3dq,Adele,Strangers By Nature,[pop],0.39,0.25,0.03,0.8,0.08,0.13,68,182.163
313,2021,3nsfB1vus2qaloUdcBZvDu,Taylor Swift,All Too Well (Taylors Version),[pop],0.44,0.53,0.03,0.02,0.23,0.13,185.97,329.16
314,2021,6f3Slt0GbA2bPZlz0aIFXN,Tiësto,The Business,[Dance/Electronic],0.8,0.62,0.23,0.41,0.11,0.24,120.03,164
315,2021,4saklk6nie3yiGePpBwUoc,BTS,Dynamite,[k-pop],0.75,0.77,0.1,0.01,0.09,0.74,114.04,199.053
