pos,year,track_ID,artist_names,track_name,genres,danceability,energy,speechiness,acousticness,liveness,valence,tempo
687,2019,7eBqSVxrzQZtK2mmgRG6lC,YNW Melly,Murder On My Mind,[hip hop],0.76,0.73,0.05,0.15,0.11,0.74,115.01
688,2019,5PYQUBXc7NYeI1obMKSJK0,Katy Perry,Never Really Over,[pop],0.77,0.88,0.06,0.19,0.32,0.39,99.99
689,2019,4vUmTMuQqjdnvlZmAH61Qk,Ed Sheeran,South of the Border (feat. Camila Cabello & Cardi B),[pop],0.86,0.62,0.08,0.15,0.09,0.67,97.99
690,2019,6DCZcSspjsKoFjzjrWoCdn,Drake,Gods Plan,[hip hop],0.75,0.45,0.11,0.03,0.55,0.36,77.17
691,2019,6FyRXC8tJUh863JCkyWqtk,Paulo Londra,Adan y Eva,[latin],0.77,0.71,0.34,0.32,0.07,0.72,171.99
692,2019,3Fj47GNK2kUF0uaEDgXLaD,Billie Eilish,wish you were gay,[pop],0.85,0.35,0.24,0.39,0.75,0.28,118.03
693,2019,1HfMVBKM75vxSfsQ5VefZ5,Selena Gomez,Lose You To Love Me,[pop],0.51,0.34,0.04,0.58,0.21,0.09,101.99
694,2019,3Ol2xnObFdKV9pmRD2t9x8,A Boogie Wit da Hoodie,Look Back at It,[hip hop],0.79,0.59,0.04,0.41,0.15,0.54,96.06
695,2019,6oJ6le65B3SEqPwMRNXWjY,Kygo,Higher Love,[Dance/Electronic],0.69,0.68,0.03,0.02,0.10,0.40,103.95
696,2019,6LsAAHotRLMOHfCsSfYCsz,Shawn Mendes,If I Cant Have You,[pop],0.69,0.81,0.06,0.52,0.15,0.86,123.91
697,2019,25ZAibhr3bdlMCLmubZDVt,J Balvin,QUE PRETENDES,[latin],0.64,0.79,0.25,0.03,0.36,0.94,92.60
698,2019,1tNJrcVe6gwLEiZCtprs1u,Dominic Fike,3 Nights,[rock],0.82,0.52,0.09,0.22,0.10,0.88,151.89
699,2019,5JEx7HbmvHQQswJCsoo9rA,Ellie Goulding,Close To Me (with Diplo) (feat. Swae Lee),[Dance/Electronic],0.57,0.76,0.06,0.10,0.40,0.49,144.11
700,2019,0FZ4Dmg8jJJAPJnvBIzD9z,Kodak Black,ZEZE,[hip hop],0.86,0.60,0.18,0.05,0.09,0.50,98.04
701,2019,58q2HKrzhC3ozto2nDdN4z,Cardi B,I Like It,[pop],0.82,0.73,0.13,0.10,0.37,0.65,136.05
702,2019,6moU77g9RQyMzHNuKEaQKq,Ali Gatie,Its You,[hip hop],0.73,0.46,0.03,0.37,0.19,0.40,95.97
703,2019,1mXVgsBdtIVeCLJnSnmtdV,Sam Smith,Too Good At Goodbyes,[pop],0.68,0.37,0.04,0.64,0.17,0.48,91.87
